dataset,repr,prop,kernel,fold,mae,stdev,eta,sigma
TM-GSspinPlus,SPAHM_a_global,HOMO,G,0,1.44084726e+00,5.01206113e-02,1.00000000e-10,3.16227766e+09
TM-GSspinPlus,SPAHM_a_global,LUMO,L,0,1.62313614e+00,4.03039100e-02,3.16227766e-08,3.16227766e+08
TM-GSspinPlus,SPAHM_a_global,LUMO,G,0,1.45899942e+00,3.85430764e-02,1.00000000e-10,3.16227766e+09
TM-GSspinPlus,SPAHM_a_global,gap,L,0,4.70937696e-01,2.05414473e-02,3.16227766e-03,3.16227766e+05
TM-GSspinPlus,SPAHM_a_global,gap,G,0,4.55184976e-01,8.76056738e-03,1.00000000e-10,1.00000000e+10
TM-GSspinPlus,SPAHM_a_global,dipole_moment_Debye,L,0,3.15271943e+00,6.61331998e-02,1.00000000e-05,3.16227766e+07
TM-GSspinPlus,SPAHM_a_global,dipole_moment_Debye,G,0,3.44590377e+00,1.06123596e-01,1.00000000e+00,3.16227766e+05
TM-GSspinPlus,SPAHM_b_global,splitting,L,0,1.34579512e+01,7.07161500e-01,1.00000000e-05,1.00000000e+02
TM-GSspinPlus,SPAHM_b_global,splitting,G,0,9.97521032e+00,6.51787135e-01,1.00000000e-10,3.16227766e+03
TM-GSspinPlus,SPAHM_b_global,HOMO,L,0,1.38879064e+00,4.33020812e-02,3.16227766e-03,3.16227766e+01
TM-GSspinPlus,SPAHM_b_global,HOMO,G,0,7.53788941e-01,1.25098910e-02,3.16227766e-08,3.16227766e+01
TM-GSspinPlus,SPAHM_b_global,LUMO,L,0,1.37953875e+00,4.25915519e-02,3.16227766e-03,1.00000000e+01
TM-GSspinPlus,SPAHM_b_global,LUMO,G,0,8.18747798e-01,3.97471898e-02,3.16227766e-08,3.16227766e+01
TM-GSspinPlus,SPAHM_b_global,gap,L,0,4.52256494e-01,1.89625664e-02,3.16227766e-03,3.16227766e+02
TM-GSspinPlus,SPAHM_b_global,gap,G,0,4.32196811e-01,1.32753485e-02,1.00000000e-10,1.00000000e+05
TM-GSspinPlus,SPAHM_b_global,dipole_moment_Debye,L,0,3.00203367e+00,9.03956687e-02,3.16227766e-03,1.00000000e+01
TM-GSspinPlus,SPAHM_b_global,dipole_moment_Debye,G,0,3.17601591e+00,8.74901862e-02,1.00000000e-05,1.00000000e+01
TM-GSspinPlus,aSLATM,splitting,L,0,1.01608185e+01,4.65056267e-01,1.00000000e-10,1.00000000e+02
TM-GSspinPlus,aSLATM,splitting,G,0,9.07425448e+00,4.45229538e-01,3.16227766e-03,1.00000000e+02
TM-GSspinPlus,FCHL,splitting,L,0,1.39376712e+01,1.96721410e-01,3.16227766e-03,3.16227766e+02
TM-GSspinPlus,FCHL,splitting,G,0,1.28622490e+01,6.28845773e-01,1.00000000e-05,3.16227766e+03
TM-GSspinPlus,SOAP,splitting,L,0,1.11208975e+01,4.36226008e-01,1.00000000e-10,3.16227766e+02
TM-GSspinPlus,SOAP,splitting,G,0,1.00200219e+01,3.66001160e-01,3.16227766e-03,3.16227766e+01
TM-GSspinPlus,SPAHM_a,splitting,L,0,1.03850934e+01,2.55794519e-01,3.16227766e-03,1.00000000e+03
TM-GSspinPlus,SPAHM_a,splitting,G,0,8.13784060e+00,2.44683328e-01,1.00000000e-10,3.16227766e+05
TM-GSspinPlus,SPAHM_b,splitting,L,0,1.02975725e+01,5.21673446e-01,3.16227766e-03,1.00000000e-01
TM-GSspinPlus,SPAHM_b,splitting,G,0,9.85688695e+00,3.80692357e-01,1.00000000e-10,3.16227766e+01
