dataset,repr,prop,kernel,fold,mae,stdev,eta,sigma
OctaKulik,SLATM,HOMO,G,0,7.35260630e-01,7.49289391e-02,1.00000000e-05,1.00000000e+05
OctaKulik,SLATM,LUMO,L,0,8.65780354e-01,6.06679753e-02,1.00000000e-10,1.00000000e+07
OctaKulik,SLATM,LUMO,G,0,8.23638999e-01,8.75314013e-02,3.16227766e-08,1.00000000e+06
OctaKulik,SLATM,gap,L,0,4.73021924e-01,8.09989212e-03,1.00000000e-05,1.00000000e+04
OctaKulik,SLATM,gap,G,0,4.84432778e-01,1.90087138e-02,1.00000000e-05,3.16227766e+05
OctaKulik,FCHL_global,HOMO,L,0,1.48333638e+00,9.53897265e-02,1.00000000e-10,3.16227766e+04
OctaKulik,FCHL_global,HOMO,G,0,1.05776556e+00,5.42788323e-02,3.16227766e-08,3.16227766e+05
OctaKulik,FCHL_global,LUMO,L,0,1.82364181e+00,9.85484734e-02,1.00000000e-10,3.16227766e+06
OctaKulik,FCHL_global,LUMO,G,0,1.21444966e+00,6.95514064e-02,3.16227766e-08,3.16227766e+05
OctaKulik,FCHL_global,gap,L,0,7.09329899e-01,1.82720973e-02,1.00000000e-05,1.00000000e+06
OctaKulik,FCHL_global,gap,G,0,6.40068495e-01,3.05211276e-02,1.00000000e-05,3.16227766e+04
OctaKulik,SOAP_global,HOMO,L,0,1.40702355e+00,6.78179505e-02,1.00000000e-10,1.00000000e+07
OctaKulik,SOAP_global,HOMO,G,0,1.04177942e+00,5.28293436e-02,1.00000000e-05,1.00000000e+04
OctaKulik,SOAP_global,LUMO,L,0,1.73081053e+00,8.71903283e-02,1.00000000e-10,1.00000000e+07
OctaKulik,SOAP_global,LUMO,G,0,1.20803667e+00,6.92890999e-02,3.16227766e-08,3.16227766e+06
OctaKulik,SOAP_global,gap,L,0,6.61719797e-01,1.56936819e-02,1.00000000e-05,1.00000000e+06
OctaKulik,SOAP_global,gap,G,0,5.98908138e-01,2.04282466e-02,1.00000000e-05,3.16227766e+04
OctaKulik,SPAHM_e,HOMO,L,0,4.63570524e-01,9.87479323e-03,1.00000000e-05,3.16227766e+04
OctaKulik,SPAHM_e,HOMO,G,0,1.23588895e+00,1.23934897e-01,1.00000000e-05,3.16227766e+05
OctaKulik,SPAHM_e,LUMO,L,0,6.29264036e-01,2.61648789e-02,1.00000000e-05,3.16227766e+04
OctaKulik,SPAHM_e,LUMO,G,0,1.44806449e+00,2.12182854e-01,1.00000000e-05,3.16227766e+05
OctaKulik,SPAHM_e,gap,L,0,6.17411655e-01,1.87449903e-02,3.16227766e-03,3.16227766e+03
OctaKulik,SPAHM_e,gap,G,0,8.08852344e-01,2.55638226e-02,3.16227766e-03,3.16227766e+05
OctaKulik,SPAHM_a_global,HOMO,L,0,1.08934440e+00,5.11717397e-02,1.00000000e-10,3.16227766e+07
OctaKulik,SPAHM_a_global,HOMO,G,0,9.90839773e-01,3.33046303e-02,1.00000000e-10,1.00000000e+08
OctaKulik,SPAHM_a_global,LUMO,L,0,1.10111595e+00,6.30594775e-02,1.00000000e-10,3.16227766e+07
OctaKulik,SPAHM_a_global,LUMO,G,0,9.91561585e-01,7.54923713e-02,1.00000000e-10,1.00000000e+08
OctaKulik,SPAHM_a_global,gap,L,0,4.57156758e-01,1.58768098e-02,3.16227766e-08,1.00000000e+08
OctaKulik,SPAHM_a_global,gap,G,0,4.75905380e-01,1.91781076e-02,1.00000000e-10,3.16227766e+08
OctaKulik,SPAHM_b_global,HOMO,L,0,6.73962150e-01,3.70422840e-02,1.00000000e-10,3.16227766e+01
OctaKulik,SPAHM_b_global,HOMO,G,0,5.19481993e-01,4.61137037e-02,3.16227766e-08,1.00000000e+00
OctaKulik,SPAHM_b_global,LUMO,L,0,8.14914523e-01,4.69694575e-02,1.00000000e-10,1.00000000e+02
OctaKulik,SPAHM_b_global,LUMO,G,0,5.66260336e-01,7.12667405e-02,1.00000000e-10,3.16227766e+01
OctaKulik,SPAHM_b_global,gap,L,0,4.78845536e-01,1.32373602e-02,1.00000000e-10,1.00000000e+02
OctaKulik,SPAHM_b_global,gap,G,0,4.69284078e-01,2.41194328e-02,1.00000000e-10,1.00000000e+02
